Full Name,assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,clean_sheets_per_90,code,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,direct_freekicks_order,direct_freekicks_text,dreamteam_count,element_type,ep_next,ep_this,event_points,expected_assists,expected_assists_per_90,expected_goal_involvements,expected_goal_involvements_per_90,expected_goals,expected_goals_conceded,expected_goals_conceded_per_90,expected_goals_per_90,first_name,form,form_rank,form_rank_type,goals_conceded,goals_conceded_per_90,goals_scored,ict_index,ict_index_rank,ict_index_rank_type,id,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,news,news_added,now_cost,now_cost_rank,now_cost_rank_type,own_goals,penalties_missed,penalties_order,penalties_saved,penalties_text,photo,points_per_game,points_per_game_rank,points_per_game_rank_type,red_cards,saves,saves_per_90,second_name,selected_by_percent,selected_rank,selected_rank_type,special,squad_number,starts,starts_per_90,status,team,team_code,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards,Element,ROI,FPL_Metric
Rodrigo Bentancur,2,7,342,0.0,0.0,6,0.36,202993,,,0,0,-2,2,180.2,190,119,,,2,3.0,0.0,0.0,0,0.68,0.04,2.94,0.18,2.26,19.71,1.18,0.14,Rodrigo,0.0,754,328,24,1.44,5,90.7,148,89,440,False,489.6,119,53,1501,Knee injury - Expected back 13 Aug,2023-02-11T19:00:09.422201Z,5.5,147,79,0,0,,0,,202993.jpg,3.9,65,29,0,0,0.0,Bentancur,0.3,345,119,False,,17,1.02,i,18,6,236.0,157,93,71,106067,0,130566,0,0.0,13.4,Bentancur,8,686,0.7090909090909091,50.345454545454544
Miguel Almirón Rejala,4,15,511,100.0,100.0,15,0.54,179018,3.0,,0,0,4,-4,424.0,73,61,,,3,3.0,2.9,2.8,2,3.0,0.11,11.03,0.4,8.03,28.35,1.03,0.29,Miguel,2.3,138,68,22,0.8,11,187.5,36,25,369,False,599.2,76,34,2487,,2023-03-17T17:00:07.563804Z,6.5,126,67,0,0,,0,,179018.jpg,4.6,20,8,0,0,0.0,Almirón Rejala,12.8,32,10,False,,29,1.05,a,15,4,849.0,25,14,158,6580630,0,5463951,0,0.4,29.3,Almirón,2,564,0.7076923076923076,111.8153846153846
Nathan Aké,0,9,419,50.0,50.0,9,0.43,126184,,,0,0,0,0,161.6,209,52,,,1,2.0,1.9,2.2,8,1.3,0.06,2.85,0.13,1.55,16.48,0.79,0.07,Nathan,3.4,70,17,15,0.72,1,69.7,218,64,308,False,383.4,178,68,1871,Hamstring injury - 50% chance of playing,2023-05-06T20:30:08.256250Z,5.0,188,21,0,0,,0,,126184.jpg,3.5,105,26,0,0,0.0,Aké,2.4,125,45,False,,22,1.06,d,13,43,150.0,218,43,92,1184646,0,1087755,0,0.7,18.4,Aké,2,480,0.7,64.39999999999999
Solly March,10,16,559,25.0,25.0,10,0.33,109345,2.0,,0,0,2,-2,965.8,11,9,2.0,,4,3.0,0.1,0.1,0,5.9,0.2,12.91,0.43,7.01,37.58,1.24,0.23,Solly,0.4,362,174,40,1.32,6,271.4,11,8,107,False,791.8,23,10,2719,Hamstring injury - 25% chance of playing,2023-05-08T20:30:07.871969Z,6.5,158,87,0,0,,0,,109345.jpg,4.5,21,9,0,0,0.0,March,4.4,85,26,False,,31,1.03,d,5,36,955.0,16,6,147,3040944,0,2610197,0,0.1,28.3,March,2,162,0.6923076923076923,101.76923076923077
Douglas Luiz Soares de Paulo,7,17,594,100.0,100.0,13,0.4,230046,1.0,,0,0,-2,2,655.4,37,30,1.0,,2,3.0,5.5,5.8,7,2.92,0.09,5.71,0.18,2.79,42.8,1.32,0.09,Douglas Luiz,5.8,13,8,35,1.08,6,155.8,60,41,46,False,661.6,53,22,2922,,2023-01-02T01:30:08.503948Z,5.5,286,171,0,0,,0,,230046.jpg,3.8,72,32,1,0,0.0,Soares de Paulo,1.0,193,66,False,,33,1.02,a,2,7,242.0,149,88,142,213403,0,174571,0,1.2,29.6,Douglas Luiz,6,52,0.6909090909090909,98.10909090909091
Joël Veltman,1,6,447,100.0,100.0,10,0.41,111478,,,0,0,1,-1,200.8,179,42,,,3,2.0,0.9,0.8,0,1.02,0.04,2.74,0.11,1.72,27.53,1.13,0.07,Joël,0.8,298,95,29,1.2,1,77.2,187,49,109,False,406.2,160,59,2183,,2023-05-04T23:30:08.916583Z,4.5,329,56,0,0,,0,,111478.jpg,3.1,141,42,0,0,0.0,Veltman,2.4,126,46,False,,25,1.03,a,5,36,162.0,205,36,95,1207858,0,1084195,0,0.2,20.7,Veltman,6,164,0.6888888888888889,65.44444444444444
Gabriel Martinelli Silva,9,18,648,0.0,0.0,14,0.45,444145,4.0,,0,0,5,-5,838.1,17,14,3.0,,4,3.0,0.0,0.0,0,6.98,0.23,16.13,0.53,9.15,36.16,1.17,0.3,Gabriel,1.6,227,110,33,1.06,15,298.1,7,5,19,True,844.2,19,9,2789,Ankle injury - Expected back 01 Jul,2023-05-14T20:00:08.628890Z,8.0,56,28,0,0,3.0,0,,444145.jpg,5.5,10,5,0,0,0.0,Martinelli Silva,26.3,10,5,False,,34,1.1,i,1,3,1300.0,5,3,198,7872522,0,7632579,0,0.2,30.5,Martinelli,3,15,0.6875,136.125
Andreas Hoelgebaum Pereira,10,9,360,0.0,0.0,8,0.27,156689,1.0,,0,0,-2,2,965.0,12,10,1.0,,2,3.0,0.0,0.0,0,4.26,0.14,11.42,0.38,7.16,47.49,1.59,0.24,Andreas,0.2,381,180,40,1.34,4,189.3,34,23,346,False,440.6,139,59,2696,Ankle injury - Expected back 01 Jul,2023-04-30T23:00:08.532145Z,5.5,554,301,0,0,2.0,0,,156689.jpg,3.7,77,34,0,0,0.0,Hoelgebaum Pereira,10.1,44,13,False,,33,1.1,i,9,54,495.0,63,39,123,3435282,0,4611032,0,0.0,28.6,Andreas,8,344,0.6727272727272727,82.74545454545455
Martin Ødegaard,8,30,813,100.0,100.0,13,0.37,184029,3.0,,0,0,4,-4,1100.4,7,5,1.0,,5,3.0,7.7,6.9,3,8.02,0.23,17.77,0.51,9.75,37.94,1.09,0.28,Martin,6.4,8,4,38,1.09,15,298.3,6,4,7,True,960.0,10,3,3132,,2023-03-09T22:30:08.763464Z,8.5,44,22,0,0,,0,,184029.jpg,5.7,7,3,0,0,0.0,Ødegaard,33.3,5,3,False,,37,1.06,a,1,3,920.0,18,8,212,7014051,0,5015435,0,0.9,30.7,Ødegaard,4,4,0.6705882352941177,142.16470588235296
Rico Henry,3,4,505,100.0,100.0,11,0.31,194010,,,0,0,-1,1,401.9,82,11,,,1,2.0,1.0,2.0,7,2.9,0.08,4.7,0.13,1.8,48.49,1.35,0.05,Rico,3.0,89,23,46,1.28,0,104.5,116,20,85,False,444.4,137,46,3240,,2023-01-14T19:00:07.793768Z,4.5,498,106,0,0,,0,,194010.jpg,3.0,153,46,0,0,0.0,Henry,2.6,119,42,False,,37,1.03,a,4,94,197.0,184,29,112,806175,0,600875,0,0.7,25.5,Henry,4,127,0.6666666666666666,74.66666666666666
Craig Dawson,1,7,390,100.0,100.0,7,0.3,60232,,,0,0,-2,2,37.2,390,138,,,1,2.0,1.3,0.9,0,0.27,0.01,1.8,0.07,1.53,35.83,1.51,0.06,Craig,1.4,240,77,31,1.31,1,64.0,234,72,459,False,455.6,134,44,2134,,2022-10-13T22:30:06.917946Z,4.5,262,37,0,0,,0,,60232.jpg,3.0,156,49,0,0,0.0,Dawson,0.8,219,78,False,,25,1.05,a,20,39,145.0,222,46,75,213017,0,176723,0,0.3,15.6,Dawson,6,740,0.6666666666666666,50.0
Alexis Mac Allister,2,18,567,100.0,100.0,10,0.31,243016,,,0,0,1,-1,729.6,27,20,1.0,,3,3.0,4.1,3.9,2,4.27,0.13,16.32,0.51,12.05,40.48,1.26,0.38,Alexis,3.9,56,29,45,1.41,10,217.8,22,14,116,False,741.0,34,15,2882,,2023-01-21T18:30:07.117166Z,6.0,100,53,1,0,1.0,0,,243016.jpg,4.0,56,26,0,0,0.0,Mac Allister,14.7,26,8,False,,31,0.97,a,5,36,706.0,32,18,140,3561988,0,2030056,0,0.7,25.0,Mac Allister,8,168,0.6666666666666666,93.33333333333333
Virgil van Dijk,1,13,636,100.0,100.0,11,0.35,97032,,,0,0,1,-1,121.0,257,68,,,3,2.0,6.2,5.3,0,1.09,0.03,3.59,0.11,2.5,41.17,1.31,0.08,Virgil,4.3,43,7,36,1.14,3,125.4,87,11,280,False,743.2,33,6,2835,,2023-01-06T22:30:07.357716Z,6.0,48,4,0,0,,0,,97032.jpg,4.0,57,9,0,0,0.0,van Dijk,12.4,38,13,False,,32,1.02,a,12,14,389.0,91,5,127,1780745,0,2302625,0,0.7,19.2,Van Dijk,3,442,0.6666666666666666,84.66666666666666
