Full Name,total_points,points_per_game_rank,points_per_game,now_cost,minutes,starts_per_90,element_type,ROI,team_code,FPL_metric
Riyad Mahrez,126,41,4.2,7.5,1913,1.04,3.0,0.56,43,70.56
Norberto Murara Neto,93,113,3.4,4.5,2385,1.02,1.0,0.7555555555555555,91,70.26666666666667
Max Kilman,109,166,2.9,4.5,3307,1.01,2.0,0.6444444444444444,39,70.24444444444444
Jack Grealish,121,33,4.3,7.5,2051,1.01,3.0,0.5733333333333334,43,69.37333333333333
Joelinton Cássio Apolinário de Lira,115,94,3.6,6.0,2660,1.02,3.0,0.6,4,69.0
Kurt Zouma,88,102,3.5,4.5,1988,1.09,2.0,0.7777777777777778,21,68.44444444444444
John Stones,93,55,4.0,5.5,1844,1.02,2.0,0.7272727272727273,43,67.63636363636364
Andrew Robertson,121,95,3.6,6.5,2579,1.01,2.0,0.5538461538461539,14,67.01538461538462
Joël Veltman,95,141,3.1,4.5,2183,1.03,2.0,0.6888888888888889,36,65.44444444444444
Tim Ream,98,155,3.0,4.5,2898,1.02,2.0,0.6666666666666666,54,65.33333333333333
Brennan Johnson,122,138,3.2,6.0,2930,1.01,3.0,0.5333333333333333,17,65.06666666666666
Nathan Aké,92,105,3.5,5.0,1871,1.06,2.0,0.7,43,64.39999999999999
Aleksandar Mitrović,107,22,4.5,7.5,2010,1.03,4.0,0.6,54,64.2
Hugo Lloris,89,93,3.6,5.0,2205,1.02,1.0,0.72,6,64.08
Christian Eriksen,103,87,3.7,6.0,2046,1.1,3.0,0.6166666666666667,1,63.51666666666667
Emerson Leite de Souza Junior,86,121,3.3,4.5,1729,1.04,2.0,0.7333333333333333,6,63.06666666666666
Harrison Reed,107,165,2.9,5.0,2868,1.1,3.0,0.58,54,62.059999999999995
Emiliano Buendía Stati,117,146,3.1,6.0,2404,1.01,3.0,0.5166666666666667,7,60.45
Alexander Isak,100,23,4.5,7.5,1520,1.01,4.0,0.6,4,60.0
Jadon Sancho,105,58,4.0,7.0,1683,1.12,3.0,0.5714285714285714,1,60.0
